date,latitude,longitude,fire_occurred,acq_time,acq_timestamp,frp,confidence,daynight,type,source_file
2023-05-27,40.31324,15.89937,1,57,2023-05-27 00:57:00,0.71,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,41.4649,15.44134,1,57,2023-05-27 00:57:00,0.67,n,N,0,italy_viirs_snpp_2023.csv
2023-05-27,40.62809,18.00016,1,57,2023-05-27 00:57:00,1.1,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,40.31399,15.89483,1,57,2023-05-27 00:57:00,0.71,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,38.79167,15.21077,1,58,2023-05-27 00:58:00,4.4,n,N,1,italy_viirs_snpp_2023.csv
2023-05-27,39.08064,9.0177,1,58,2023-05-27 00:58:00,1.6,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,37.21096,15.17158,1,58,2023-05-27 00:58:00,0.74,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,37.2117,15.16717,1,58,2023-05-27 00:58:00,0.74,n,N,2,italy_viirs_snpp_2023.csv
2023-05-27,38.79496,15.21169,1,58,2023-05-27 00:58:00,4.4,n,N,1,italy_viirs_snpp_2023.csv
2023-05-27,40.90479,16.9504,1,1040,2023-05-27 10:40:00,3.36,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.31248,13.98943,1,1219,2023-05-27 12:19:00,2.22,l,D,0,italy_viirs_snpp_2023.csv
2023-05-27,36.99771,14.39221,1,1219,2023-05-27 12:19:00,3.25,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.07984,14.43438,1,1219,2023-05-27 12:19:00,4.55,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.07557,14.4297,1,1219,2023-05-27 12:19:00,5.09,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.08404,14.34181,1,1219,2023-05-27 12:19:00,3.16,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.22899,13.72295,1,1219,2023-05-27 12:19:00,4.16,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.11082,14.16045,1,1219,2023-05-27 12:19:00,4.37,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.11514,14.4169,1,1219,2023-05-27 12:19:00,3.34,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.07922,14.42897,1,1219,2023-05-27 12:19:00,4.55,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,36.90796,14.44854,1,1219,2023-05-27 12:19:00,3.02,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,37.5895,12.76668,1,1219,2023-05-27 12:19:00,2.96,l,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.93878,7.50902,1,1221,2023-05-27 12:21:00,2.19,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.9355,7.51002,1,1221,2023-05-27 12:21:00,3.7,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,45.14445,9.94684,1,1221,2023-05-27 12:21:00,8.7,l,D,2,italy_viirs_snpp_2023.csv
2023-05-27,44.78916,7.68613,1,1221,2023-05-27 12:21:00,2.16,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.60279,7.76404,1,1221,2023-05-27 12:21:00,3.35,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.91714,10.36752,1,1221,2023-05-27 12:21:00,3.91,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.85433,10.07196,1,1221,2023-05-27 12:21:00,5.16,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.41034,7.77241,1,1221,2023-05-27 12:21:00,2.02,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,43.35536,13.45658,1,1221,2023-05-27 12:21:00,4.43,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,44.93952,7.51384,1,1221,2023-05-27 12:21:00,2.19,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,45.10994,7.71679,1,1221,2023-05-27 12:21:00,2.02,n,D,0,italy_viirs_snpp_2023.csv
2023-05-27,45.95313,12.31866,1,1222,2023-05-27 12:22:00,3.76,n,D,0,italy_viirs_snpp_2023.csv
2023-05-28,46.22647,13.0726,1,37,2023-05-28 00:37:00,2.08,n,N,2,italy_viirs_snpp_2023.csv
2023-05-28,46.23079,13.07336,1,37,2023-05-28 00:37:00,1.35,n,N,2,italy_viirs_snpp_2023.csv
2023-05-28,40.50491,17.2118,1,38,2023-05-28 00:38:00,1.13,n,N,3,italy_viirs_snpp_2023.csv
2023-05-28,40.62958,17.9984,1,38,2023-05-28 00:38:00,0.5,n,N,2,italy_viirs_snpp_2023.csv
2023-05-28,40.51917,17.2102,1,38,2023-05-28 00:38:00,1.03,n,N,2,italy_viirs_snpp_2023.csv
2023-05-28,40.51576,17.20939,1,38,2023-05-28 00:38:00,1.03,n,N,2,italy_viirs_snpp_2023.csv
2023-05-28,40.51092,17.1933,1,38,2023-05-28 00:38:00,0.86,n,N,0,italy_viirs_snpp_2023.csv
2023-05-28,40.50671,17.17238,1,38,2023-05-28 00:38:00,0.62,n,N,0,italy_viirs_snpp_2023.csv
